nama,sektor,website,kontak,facebook,instagram,twitter,linkedin,youtube
PT Bank Raya Indonesia Tbk,Keuangan,bankraya.co.id,021-50931300,https://www.facebook.com/people/Bank-Raya/100073463563889/,https://www.instagram.com/bankraya/,-,https://id.linkedin.com/company/pt-bank-raya-indonesia-tbk,https://www.youtube.com/channel/UCnpbUrNPUQOHleOIIvhCG_g/featured
PT Bank IBK Indonesia Tbk.,Keuangan,www.ibk.co.id,+62 21 5790 8888,-,-,-,-,-
Asuransi Harta Aman Pratama Tbk,Keuangan,www.asuransi-harta.co.id,"5702060, 5746789 (hunting)",https://www.facebook.com/HartaInsurance,https://www.instagram.com/asuransiharta/,-,https://id.linkedin.com/company/pt-asuransi-harta-aman-pratama-tbk,-
PT Artha Mahiya Investama Tbk,Energi,www.aimsinvestama.com,(021) 7221279,https://www.facebook.com/,https://www.instagram.com/,https://twitter.com/,-,https://www.youtube.com/
PT FKS Food Sejahtera Tbk,Barang Konsumen Primer,www.fksfs.co.id,021 - 50889898,https://www.facebook.com/TPSFood,-,https://twitter.com/TPSFood,-,-
PT Anugerah Kagum Karya Utama Tbk,Barang Konsumen Non-Primer,kagumgroup.com,022-2035013,-,-,-,-,-
Argha Karya Prima Ind. Tbk,Barang Baku,http://www.arghakarya.com,021-8572707,https://www.facebook.com/profile.php?id=100087650850994,https://www.instagram.com/argha_id/,-,https://www.linkedin.com/company/pt.-argha-karya-prima-industry-tbk/,-
PT AKR Corporindo Tbk.,Energi,www.akr.co.id,(021) 531 1110,-,-,-,-,-
PT Mineral Sumberdaya Mandiri Tbk,Transportasi & Logistik,www.msdm.co.id,021 50105669,-,-,-,-,https://www.youtube.com/watch?v=fDlDl5IEaB8
Alkindo Naratama Tbk,Barang Baku,www.alkindo.co.id,"(022) 601 1220, 602 8277",https://www.facebook.com/PT-Alkindo-Naratama-Tbk-100766638095575,https://www.instagram.com/alkindo/,-,-,-
PT Ancara Logistics Indonesia Tbk,Energi,www.ancaralogistics.co.id,(021) 2994 1122,-,-,-,https://www.linkedin.com/company/pt-ancara-logistics-indonesia,-
Alakasa Industrindo Tbk,Barang Baku,0,(021)460-88-55,-,-,-,-,-
Alumindo Light Metal Industry Tbk,Barang Baku,www.alumindo.com,"+62-31-3531445, 3541040",-,-,-,-,-
Tri Banyan Tirta Tbk,Barang Konsumen Primer,www.ALTOspringswater.com,(0266) 735 813 dan (021) 5300 689,-,-,-,-,-
Asuransi Multi Artha Guna Tbk,Keuangan,www.mag.co.id,(021) 2700590,https://www.facebook.com/AsuransiMAGOfficial,https://www.instagram.com/asuransimag/,https://twitter.com/asuransimag_,https://www.linkedin.com/company/pt-asuransi-multi-artha-guna-tbk/,https://www.youtube.com/user/asuransiMAG
PT Makmur Berkah Amanda Tbk.,Properti & Real Estat,mbagroup.id,(62-21) 2119 2888,-,https://www.instagram.com/mbagroup.id,-,-,-
PT Bank Amar Indonesia Tbk.,Keuangan,www.amarbank.co.id,(031) 99015959,https://www.facebook.com/amarbankindonesia,https://www.instagram.com/amarbank.id/,https://twitter.com/amarbankID,https://www.linkedin.com/company/amar-bank-official-/,https://www.youtube.com/channel/UCKK0NKKDdsCLgUQ0nhTilKQ
Asahimas Flat Glass Tbk,Perindustrian,www.amfg.co.id,(021) 6904041 ext 1042,-,-,-,-,-
PT Ateliers Mecaniques D Indonesie Tbk.,Perindustrian,www.atmindoboiler.com,(061) 794 7751,http://www.facebook.com/wix,https://www.instagram.com/atmindoboiler/,http://www.twitter.com/wix,-,-
PT Amman Mineral Internasional Tbk.,Barang Baku,www.amman.co.id,021 5799 4600,http://www.facebook.com/ammanmineral%20,http://www.instagram.com/ammanmineral,http://www.twitter.com/ammanmineral,-,http://www.youtube.com/@ammanmineral
PT Agung Menjangan Mas Tbk,Barang Konsumen Primer,www.agungmm.com,(021)-29023178,-,-,-,-,-
PT Ashmore Asset Management Indonesia Tbk.,Keuangan,www.ashmoregroup.com,(021) 2953 9000,-,-,https://twitter.com/ashmoreem,https://www.linkedin.com/company/ashmore,-
PT Sumber Alfaria Trijaya Tbk.,Barang Konsumen Primer,www.alfamart.co.id,021-80821555,https://www.facebook.com/alfamartku/,https://www.instagram.com/alfamart/?hl=id,https://twitter.com/alfamart,-,https://www.youtube.com/channel/UCwEs8Aod-2YCSx7RVk6jZpA
PT Andira Agro Tbk,Barang Konsumen Primer,www.andiraagro.com,0218564955,-,-,-,-,-
PT Austindo Nusantara Jaya Tbk.,Barang Konsumen Primer,www.anj-group.com,(62-21) 2965 1777,https://www.facebook.com/anjgroup.id,https://www.instagram.com/anjgroup.id/,-,https://www.linkedin.com/company/pt-austindo-nusantara-jaya-tbk/,https://www.youtube.com/channel/UCFNiwUArXp8BzfCErO-3Eyg
Aneka Tambang Tbk.,Barang Baku,http://www.antam.com/,021-7805119; 021-7891234 ; 021-7812635,https://www.facebook.com/OfficialAntam/,https://www.instagram.com/official.antam/,https://twitter.com/OfficialAntam?lang=en,-,https://www.youtube.com/channel/UCJDcDrZZ8kRfusLXNf6cAYg
Apexindo Pratama Duta Tbk,Energi,https://www.apexindo.com,(021) 29333000,-,-,-,-,-
PACIFIC STRATEGIC FINANCIAL Tbk,Keuangan,www.apic.co.id,021-39502900,-,-,-,-,-
PT Arita Prima Indonesia Tbk.,Perindustrian,www.arita.co.id,021-6519188,https://www.facebook.com/ptaritaprimaindonesiatbk/,https://www.instagram.com/ptaritaprimaindonesiatbk/?hl=id,https://twitter.com/kamiaritatbk,https://www.linkedin.com/company/ptaritaprimaindonesiatbk/,https://www.youtube.com/channel/UCUKTkSkykJ7OVwI5Ytr1z-w
Asiaplast Industries Tbk,Barang Baku,www.asiaplast.co.id,021-5901465,-,-,-,-,-
PT Agung Podomoro Land Tbk.,Properti & Real Estat,www.agungpodomoroland.com,021-29034567,https://www.facebook.com/PT.AgungPodomoroLand.Tbk,https://www.instagram.com/agungpodomoro/,-,-,https://www.youtube.com/channel/UCduFiiL8_rmsezKVd32Xk2A?view_as=subscriber
PT Archi Indonesia Tbk,Barang Baku,www.archiindonesia.com,+62 21 576 1719,-,-,-,-,-
PT Dunia Virtual Online Tbk,Teknologi,www.area31.id,021 28681231,https://www.facebook.com/Area31DataCenter/,https://www.instagram.com/area31datacenter/,-,https://www.linkedin.com/company/area31-datacenter/,https://www.youtube.com/watch?v=6eVRZ5r2w_g&t=1s&ab_channel=Area31datacenter
Argo Pantes Tbk,Barang Konsumen Non-Primer,argo.co.id,(021) 2520065-(021) 2520068,-,-,-,-,-
Atlas Resources Tbk,Energi,www.atlas-coal.co.id,021-7193343,-,-,-,-,-
PT Arkha Jayanti Persada Tbk.,Perindustrian,www.arkhajayanti.co.id,021 - 87918903,https://www.facebook.com/,-,https://www.twitter.com/,-,https://www.youtube.com/watch?v=JUuTj3wZGtw
PT Arkora Hydro Tbk.,Infrastruktur,www.arkora.com,+62 (021) 50333144,-,-,-,-,-
PT Armidian Karyatama Tbk,Properti & Real Estat,www.armidian.co.id,0215226810,-,-,-,-,-
Arwana Citramulia Tbk,Perindustrian,www.arwanacitra.com,+6221 58302363,https://www.facebook.com/arwanaceramictiles/,https://www.instagram.com/arwana_ceramics/?hl=en,https://mobile.twitter.com/arwana_ceramics,https://www.linkedin.com/company/pt-arwana-citramulia-tbk/?originalSubdomain=id,https://www.youtube.com/user/arwanaceramic/videos?app=desktop
Arthavest Tbk,Barang Konsumen Non-Primer,www.arthavest.com,021-31116101,-,-,-,-,-
Ratu Prabu Energi Tbk,Energi,www.ratuprabuenergi.com,(021) 7883-6836,-,-,-,-,-
PT Bank Jago Tbk.,Keuangan,www.jago.com,021-50927460 & 021-30000746,https://www.facebook.com/JadiJagoOfficial/,https://www.instagram.com/jadijago,https://twitter.com/jadijago,-,https://www.youtube.com/channel/UCCERkTTAEhe9xNGG05RC7_A
Asuransi Bintang Tbk,Keuangan,www.asuransibintang.com,7590 2777,https://web.facebook.com/asuransibintangtbk/,https://www.instagram.com/asuransibintangofficial?igsh=eWRxeWkwZ242c3Q2,https://twitter.com/asuransibintang,-,https://www.youtube.com/channel/UCTX3xrKHl7-5vHotfU24tQg
Asuransi Dayin Mitra Tbk,Keuangan,www.asuransidayinmitra.com,021-80868888,https://www.facebook.com/asuransidayinmitra,https://www.instagram.com/asuransidayinmitra,-,-,-
Astra Graphia Tbk,Perindustrian,www.astragraphia.co.id,021 - 3909190,-,https://www.instagram.com/astragraphia.official/,-,https://www.linkedin.com/company/pt-astra-graphia-tbk/,https://www.youtube.com/channel/UCKidCzx-b1lMy8UFFdF8k1A
PT Cilacap Samudera Fishing Industry Tbk,Barang Konsumen Primer,www.csfi.co.id,+6221-66604850,-,-,-,-,-
Astra International Tbk,Perindustrian,www.astra.co.id,(021) 508 43 888,-,-,-,-,-
Asuransi Jasa Tania Tbk,Keuangan,www.jastan.co.id,021-5262529,https://www.facebook.com/asuransi.jastan.5,https://www.instagram.com/jastan_official/,https://twitter.com/jastan_official,-,https://www.youtube.com/channel/UCfh0xheN1NWirwcYfBEdHVA
PT Autopedia Sukses Lestari Tbk,Barang Konsumen Non-Primer,www.autopedia.id,(021) 50862055,-,-,-,-,-
PT Asri Karya Lestari Tbk.,Infrastruktur,www.asrikaryalestari.co.id,+62 21 88969144,-,-,-,-,-
PT Asuransi Maximus Graha Persada Tbk.,Keuangan,www.asuransimaximus.com,(62-21) 51400388,http://www.facebook.com/kresna.insurance/,http://instagram.com/AsuransiMaximus,http://twitter.com/@AsuransiMaximus,-,-
PT Andalan Sakti Primaindo Tbk.,Properti & Real Estat,www.ansa-land.com,(62-21) 250 6789,-,-,-,-,-
ALAM SUTERA REALTY Tbk,Properti & Real Estat,www.alamsuterarealty.co.id,252 3838,https://www.facebook.com/alamsuteragroup/,https://www.instagram.com/alam_sutera_realty/,https://twitter.com/AlamSuteraInfo,-,https://www.youtube.com/channel/UCIorgthLizWISjCe4SdFiCQ
Asuransi Ramayana Tbk,Keuangan,www.asuransiramayana.co.id,3193 7148,https://www.facebook.com/Asuransi-Ramayana-Tbk-104392964946174/?view_public_for=104392964946174,https://www.instagram.com/asuransi_ramayana/?hl=en,https://twitter.com/ASRM_49,-,-
Adi Sarana Armada Tbk,Transportasi & Logistik,www.assarent.co.id,6530 8811,https://www.facebook.com/ASSARentID/,https://www.instagram.com/assarentid/?hl=en,https://twitter.com/ASSArentID,https://www.linkedin.com/company/adi-sarana-armada-assa-rent-,https://www.youtube.com/user/assarent/videos?app=desktop
PT Trimitra Prawara Goldland Tbk,Properti & Real Estat,www.trimitraprawaraland.co.id,+6221 27813852,-,-,-,-,-
PT Anabatic Technologies Tbk,Teknologi,www.anabatic.com,021-5229909,-,https://www.instagram.com/anabatic_tech/,https://twitter.com/anabatic_tech/,https://id.linkedin.com/company/pt-anabatic-technologies-tbk/,-
PT Atlantis Subsea Indonesia Tbk,Energi,www.atlantissubsea.com,+6221 831 2530,-,-,-,-,-
Astra Otoparts Tbk,Barang Konsumen Non-Primer,http://www.component.astra.co.id,"(021) 4603550, 4607025",-,-,-,-,-
PT Avia Avian Tbk,Barang Baku,www.avianbrands.com,031 - 8968000,-,-,-,-,-
PT Era Digital Media Tbk,Teknologi,www.ptedm.com,(+62 21) 39720720,https://facebook.com/,https://instagram.com/,https://twitter.com/,https://linkedin.com/,-
PT Tera Data Indonusa Tbk,Teknologi,www.terra.co.id,+6221 22461001,-,https://www.instagram.com/pt.ppm.indonesia/,-,-,-
PT Janu Putra Sejahtera Tbk.,Barang Konsumen Primer,www.januputrasejahtera.com,(0274) 871163,-,-,-,-,-
PT Agro Yasa Lestari Tbk,Barang Baku,www.agroyasalestari.com,021-3918838,-,-,-,-,-
Bukit Asam Tbk,Energi,www.ptba.co.id,(021) 5254014,https://www.facebook.com/BukitAsamOfficial/,https://www.instagram.com/bukitasamptba,https://twitter.com/BukitAsamPTBA,https://www.linkedin.com/company/pt-bukit-asam-persero-tbk/,https://www.youtube.com/channel/UC0dK2FdtrEeenwBlrATkBlQ/videos
PT Bank MNC Internasional Tbk.,Keuangan,www.mncbank.co.id,2980-5555,-,-,-,-,-
PT Multitrend Indo Tbk.,Barang Konsumen Non-Primer,kanmomultitrend.id,021 352 0729,-,-,-,-,-
PT Bank Capital Indonesia Tbk,Keuangan,www.bankcapital.co.id,(021)27938989,-,-,-,-,-
PT Bersama Mencapai Puncak Tbk.,Barang Konsumen Non-Primer,www.ptbersamamencapaipuncak.com,(0341) 4376127,-,https://www.instagram.com/bersamamencapaipuncak,-,-,-
Saranacentral Bajatama Tbk,Barang Baku,http://www.saranacentral.com,(62-21) 628-8647,-,-,-,-,-
PT Bali Towerindo Sentra Tbk.,Infrastruktur,www.balitower.co.id,(0361) 767629,-,-,-,-,-
PT Bank Aladin Syariah Tbk,Keuangan,www.aladinbank.id,+62 21 3970 8008,-,https://www.instagram.com/aladinbank.id,-,https://www.linkedin.com/company/aladinbank/,-
Bekasi Asri Pemula Tbk,Properti & Real Estat,www.bekasiasripemula.co.id,563 6913; 569 42191,-,-,-,-,-
PT Bhakti Agung Propertindo Tbk.,Properti & Real Estat,www.bhaktiagung.com,021 22797778,-,-,-,-,-
Sepatu Bata Tbk,Barang Konsumen Non-Primer,www.bata.id,021 7505353,https://www.facebook.com/BataIndonesia,https://www.instagram.com/bataindonesia/,https://twitter.com/bataindonesia,https://in.linkedin.com/company/bata-indonesia,https://www.youtube.com/c/SepatuBataIndonesia
PT Benteng Api Technic Tbk,Barang Baku,https://www.bentengapi.com/,+62(31)-7672269,https://www.facebook.com/bat.refractory/,https://www.instagram.com/bat.refractory/,-,https://www.linkedin.com/company/pt-benteng-api-technic/,https://www.youtube.com/@ptbentengapitechnic
PT Mitra Angkasa Sejahtera Tbk,Barang Konsumen Non-Primer,www.masworkspace.com,(021) 2229 3554,https://www.facebook.com/ptmasofficial,https://www.instagram.com/ptmasofficial/,-,-,https://www.youtube.com/channel/UCTBwHE9UD4icx3O9x-Nzgfw
Bayu Buana Tbk,Barang Konsumen Non-Primer,http://www.bayubuanatravel.com dan http://www.bayubuanagroup.com,23509999,-,-,-,-,-
PT Bank Central Asia Tbk.,Keuangan,www.bca.co.id,021-23588000,http://www.facebook.com/GoodLifeBCA,https://www.instagram.com/goodlifeBCA/,https://twitter.com/BankBCA,-,http://www.youtube.com/solusiBCA
PT Allo Bank Indonesia Tbk,Keuangan,www.allobank.com,021-7990671-021-79184705-021-79182387,-,-,-,-,-
PT Bank KB Bukopin Tbk,Keuangan,www.kbbukopin.com,798-8266,-,-,-,-,-
Buana Finance Tbk,Keuangan,www.buanafinance.co.id,021-50806969,https://www.facebook.com/BuanaFinanceid/,https://www.instagram.com/buanafinanceid/,-,-,https://youtube.com/channel/UCY5gOVFHNpNob374NfJrsNw/
PT Bank Mestika Dharma Tbk.,Keuangan,www.bankmestika.com,061-4525800,-,-,-,-,-
PT Bank Negara Indonesia (Persero) Tbk,Keuangan,www.bni.co.id,"021-2511946, 021-5728387",https://facebook.com/bni,https://instagram.com/bni46,https://x.com/bni,https://www.linkedin.com/company/pt.-bank-negara-indonesia-persero-tbk.,https://www.youtube.com/user/BNITVC
PT Bank Rakyat Indonesia (Persero) Tbk,Keuangan,www.bri.co.id,021 - 575 1966,https://www.facebook.com/BRIofficialpage,https://www.instagram.com/bankbri_id/,https://twitter.com/kontakbri,-,https://youtube.com/channel/UCRHFE_ooDrkEiRRJbog3EjA
Pelayaran Nasional Bina Buana Raya Tbk,Energi,www.bbr.co.id,(021) 295 294 61,-,-,-,-,-
PT Krom Bank Indonesia Tbk,Keuangan,www.krom.id,(021) 50899777,https://www.facebook.com/krombankofficial,https://www.instagram.com/krom.bank,-,https://www.linkedin.com/company/krom-bank,https://www.youtube.com/@krombankofficial
PT Bumi Benowo Sukses Sejahtera Tbk,Properti & Real Estat,www.bumibenowo.com,+62 31 561 2227 / 565 2277,-,-,-,-,-
PT Bank Tabungan Negara (Persero) Tbk,Keuangan,www.btn.co.id,021-6336789,https://www.facebook.com/bankbtn,https://www.instagram.com/btn,https://x.com/bankbtn,https://id.linkedin.com/company/pt--bank-tabungan-negara-persero-tbk,https://www.youtube.com/@bankbtn
PT Bank Neo Commerce Tbk.,Keuangan,http://www.bankneocommerce.co.id/,021-27094950  021-27094951,https://www.facebook.com/bankneocommerce,https://www.instagram.com/bankneocommerce/,https://twitter.com/i/flow/login?redirect_after_login=%2Fbankneocommerce,https://www.linkedin.com/company/pt-bank-neo-commerce-tbk,https://www.youtube.com/channel/UCg299vJCx1tqEv4vMoMIv3g
MNC Kapital Indonesia Tbk,Keuangan,www.mncfinancialservices.com,021-29709700,https://www.facebook.com/MNCKapital/,https://www.instagram.com/mnckapital.id,-,-,https://www.youtube.com/channel/UCwsSLi_ynG7vejClYsHOMzw
PT Bank JTrust Indonesia Tbk.,Keuangan,www.jtrustbank.co.id,02129261111,https://www.facebook.com/JTrustBankID,https://www.instagram.com/jtrustbank/,-,https://id.linkedin.com/company/bank-jtrust-indonesia?trk=public_profile_topcard_current_company,https://www.youtube.com/channel/UC9ms_E48zUIKGh-uWrx4q0g
Bumi Citra Permai Tbk,Properti & Real Estat,www.bumicitrapermai.com,(021) 391 6338,-,-,-,-,-
PT Berdikari Pondasi Perkasa Tbk.,Infrastruktur,www.ptbppid.com,"(021) 566 2756, 566 2757",-,-,-,-,-
PT Bank Danamon Indonesia Tbk,Keuangan,http://www.danamon.co.id/,(021) 80645000,https://www.facebook.com/danamonindonesia,https://instagram.com/mydanamon,https://twitter.com/danamon,https://www.linkedin.com/company/bank-danamon-indonesia/,https://youtube.com/bankdanamonid
PT Berkah Beton Sadaya Tbk,Barang Baku,www.berkahbetonsadaya.com,+62 260 4551571,https://www.facebook.com/berkahbetonsadaya,https://www.instagram.com/bbs.betonprecast/,https://twitter.com/BbsBeton,-,-
PT Estika Tata Tiara Tbk.,Barang Konsumen Primer,www.kibif.com,02151402094,https://web.facebook.com/KIBIFGROUP,https://www.instagram.com/kibifgroup/,https://x.com/KIBIFGroup,-,https://www.youtube.com/@KIBIFGROUP
PT Jobubu Jarum Minahasa Tbk,Barang Konsumen Primer,www.jobubu.com,0431-852222,-,-,-,-,-
PT Bank Pembangunan Daerah Banten Tbk.,Keuangan,www.bankbanten.co.id,0254 - 7914966,-,-,-,-,https://youtube.com/c/BankBanten
PT Global Digital Niaga Tbk,Teknologi,https://about.blibli.com/id,(0291) 431695,https://www.facebook.com/bliblidotcom/,https://www.instagram.com/bliblidotcom/,https://twitter.com/bliblidotcom,https://www.linkedin.com/company/blibli/mycompany/,https://www.youtube.com/channel/UChIvLoVaqW6LUwj6Z8wuyCA
PT Trisula Textile Industries Tbk,Barang Konsumen Non-Primer,www.trisulatextile.com,0226613333,-,-,-,-,-
PT Batulicin Nusantara Maritim Tbk.,Energi,www.batulicinnusantaramaritim.com,(0518) 71869,https://www.facebook.com/batulicinnusantaramaritim,-,-,https://www.linkedin.com/showcase/pt-batulicin-nusantara-maritim/,-
Bekasi Fajar Industrial Estate Tbk,Properti & Real Estat,www.befa.id,(021) 252-5334,-,-,-,https://id.linkedin.com/company/pt.-bekasi-fajar-industrial-estate-tbk,https://www.youtube.com/watch?v=wdGHZk-VDHc
BFI Finance Indonesia Tbk,Keuangan,www.bfi.co.id,"(021) 2965 0300, 2965 0500",https://www.facebook.com/BFIFinanceID/,https://www.instagram.com/bfifinance/,https://twitter.com/bfifinance,https://www.linkedin.com/company/pt-bfi-finance-indonesia-tbk,https://www.youtube.com/embed/OcdZm5ZUm4A
PT Bank Ganesha Tbk.,Keuangan,www.bankganesha.co.id,+6221-29109900 (Hunting),https://www.facebook.com/bankganesha,https://www.instagram.com/bankganesha,-,https://www.linkedin.com/company/bankganesha/,"https://www.youtube.com/c/bankganeshaofficial
"
PT Bhakti Multi Artha Tbk.,Keuangan,www.bhaktimultiartha.co.id,(+6221) 27097677,-,-,-,-,-
PT MNC Asia Holding Tbk,Perindustrian,www.mncgroup.com,021-29709700,-,-,-,//www.linkedin.com/company/mnc-corporation,-
PT Binakarya Jaya Abadi Tbk.,Properti & Real Estat,www.bpg.id,021-54360381,-,-,http://twitter.com/kriesi,-,-
PT Sepeda Bersama Indonesia Tbk,Barang Konsumen Non-Primer,www.sepedabersamaindonesia.co.id,(+62-21) 3005 2633,-,-,-,-,-
Primarindo Asia Infrastructure Tbk,Barang Konsumen Non-Primer,0,(022) 7560555,-,-,-,-,-
PT Bank Ina Perdana Tbk.,Keuangan,www.bankina.co.id,021 2525678,https://www.facebook.com/bankina.co.id/?locale=id_ID,https://www.instagram.com/bankinaperdana/,-,-,https://www.youtube.com/channel/UCDF5Tk0IW28BgvdNtmqaMag
PT Perma Plasindo Tbk,Perindustrian,www.permaplasindo.co.id,(021) 4507929,-,-,-,-,-
PT Astrindo Nusantara Infrastruktur Tbk.,Energi,www.astrindonusantara.com,021-5081 5252,-,-,-,-,-
Bhuwanatala Indah Permai Tbk,Properti & Real Estat,www.bipp.co.id,021-252-2535,-,-,-,-,-
PT Blue Bird Tbk,Transportasi & Logistik,www.bluebirdgroup.com,021-54394000,https://www.facebook.com/bluebirdgroup.official/,https://www.instagram.com/bluebirdgroup/,https://twitter.com/Bluebirdgroup,https://www.linkedin.com/company/bluebirdgroup/,https://www.youtube.com/channel/UCTPkFzZriXVoZZgOalscUDQ
BISI INTERNATIONAL Tbk,Barang Konsumen Primer,www.bisi.co.id,(031) - 7882528,-,-,-,-,-
Bank Pembangunan Daerah Jawa Barat dan Banten Tbk,Keuangan,www.bankbjb.co.id,022-4234868,-,-,-,-,-
Bank Pembangunan Daerah Jawa Timur Tbk,Keuangan,www.bankjatim.co.id,(031) 5310090-99 ext.463,-,-,-,-,-
Bukit Darmo Property Tbk,Properti & Real Estat,www.bukitdarmoproperty.com,021 23599081 ; 021 23599173 ; 021 23599175 ; 021 23599218,https://www.facebook.com/bukitdarmogolfsurabaya/,https://www.instagram.com/bukitdarmogolf,https://x.com/bukitdarmo_golf,-,-
Sentul City Tbk,Properti & Real Estat,www.bukitsentul.co.id,"8796-0023
522-6848",-,-,-,-,-
PT Bank QNB Indonesia Tbk,Keuangan,qnb.co.id,021-5155155,-,-,-,https://www.linkedin.com/company/pt-bank-qnb-indonesia-tbk,-
PT Superior Prima Sukses Tbk,Barang Baku,superiorprimasukses.com,+62 31 7312477,https://www.facebook.com/ptsuperiorprimasuksestbk,https://www.instagram.com/superiorprimasukses,-,https://www.linkedin.com/company/blesscon,-
Berlian Laju Tanker Tbk,Transportasi & Logistik,https://www.blt.co.id/,+62 21 - 30060300,-,-,-,-,-
PT Graha Layar Prima Tbk.,Barang Konsumen Non-Primer,www.cgv.id,021-2253 6090,https://www.facebook.com/CGV.ID,https://www.instagram.com/cgv.id,https://twitter.com/CGV_ID,-,https://www.youtube.com/channel/UC2vfMMUMoAZd-RBGwA0-9Nw
PT Berkah Prima Perkasa Tbk,Perindustrian,www.blueprint-indonesia.com,021-6413435/ 6413436,https://id-id.facebook.com/Blueprint-Indonesia-111549945664486/,https://www.instagram.com/blueprint.indonesia/,-,-,https://www.youtube.com/channel/UC68LwbUyBLFVeqNqVksQdNw
PT Bank Maspion Indonesia Tbk.,Keuangan,www.bankmaspion.co.id,031-98588789,https://facebook.com/profile.php?id=100083208218553,https://instagram.com/bankmaspion/,https://twitter.com/MaspionBank,-,-
PT Lavender Bina Cendikia Tbk,Barang Konsumen Non-Primer,http://www.lavenderprograms.com/,(021) 2950 3963,-,-,-,-,-
PT Bundamedik Tbk,Kesehatan,www.bmhs.co.id,(62-21) 3192-3344,https://www.facebook.com/bundamedik1973,https://www.instagram.com/bmhs.id/,-,https://id.linkedin.com/company/bhms-bundamedikhealthservice,https://www.youtube.com/channel/UCwj7zpkV8Ktjw8oCFfvw1Nw
PT Bank Mandiri (Persero) Tbk,Keuangan,www.bankmandiri.co.id,5265045; 5265095 (Hunting),https://www.facebook.com/bankmandiricare,-,https://twitter.com/mandiricare,-,-
Bintang Mitra Semestaraya Tbk,Barang Baku,0,021-2522586,-,-,-,-,-
PT Global Mediacom Tbk,Barang Konsumen Non-Primer,mediacom.co.id,"021-3909211, 021-3900310",-,-,-,-,-
Bank Bumi Arta Tbk,Keuangan,www.bankbba.co.id,2300-455,https://m.facebook.com/pages/Bank-Bumi-Arta/,-,-,https://id.linkedin.com/company/pt-bank-bumi-arta-tbk,-
Bakrie & Brothers Tbk,Perindustrian,www.bakrie-brothers.com,+62 21 2991 2222,-,-,-,-,-
PT Bank CIMB Niaga Tbk,Keuangan,www.cimbniaga.com,"250-5252, 250-5353",-,-,-,-,-
